City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Araouane,ML,18.9048,-3.5265,104.18,4,1,5.45,clear sky
322,Dudinka,RU,69.4058,86.1778,-6.106,94,32,3.05,scattered clouds
323,Asau,RO,46.4333,26.4,49.118,53,100,3.67,overcast clouds
324,Tolaga Bay,NZ,-38.3667,178.3,53.78,85,100,1.92,overcast clouds
325,Lindi,TZ,-10,39.7167,78.224,91,85,1.38,light rain
326,Virginia Beach,US,36.8529,-75.978,60.062,58,0,5.66,clear sky
327,Sur,OM,22.5667,59.5289,87.422,42,0,0.92,clear sky
328,Ambilobe,MG,-13.2,49.05,78.98,78,68,1.4,light rain
329,Aviles,ES,43.5547,-5.9248,59.936,84,75,1.54,broken clouds
330,Polewali,ID,-3.4324,119.3435,77.954,85,32,1.12,scattered clouds
331,Along,IN,28.1667,94.7667,65.948,93,1,0.33,clear sky
332,Igarka,RU,67.4667,86.5833,7.376,93,89,3.56,overcast clouds
333,Nardaran,AZ,40.5561,50.0056,53.24,87,75,9.26,broken clouds
334,Leme,BR,-22.1856,-47.3903,83.246,57,69,2.38,broken clouds
335,Hilton Head Island,US,32.2163,-80.7526,73.094,61,0,2.06,clear sky
336,Ergani,TR,38.2653,39.7621,64.184,53,95,4.2,overcast clouds
337,Maarianhamina,AX,60.0973,19.9348,44.456,53,0,2.57,clear sky
338,Hamilton,US,39.1834,-84.5333,62.69,70,75,7.2,light rain
339,Grandview,US,38.8858,-94.533,54.482,56,100,3.6,overcast clouds
340,Zhigansk,RU,66.7697,123.3711,2.606,96,70,3.79,broken clouds
341,Aklavik,CA,68.2191,-135.0107,-11.578,96,46,0.99,scattered clouds
